"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Sign Up","0","Complete Flow of Signup","0","0","Submit signup","0"
"0","Login","0","Required Field Alerts","1","0","1_Validate Email format","0"
"0","Sign Up Flow","0","Complete SignUp Workflow For Free Plan","0","1","6_Fill Profile Details","0"
"0","Login Module","0","Login Scenarios","4","0","Login with various credentials","0"
"1","Sign Up","0","Complete Flow of Signup","0","0","","0"
"1","Sign Up Flow","0","Complete SignUp Workflow For Free Plan","0","0","","0"
"0","Forgot Password","0","Forgot Password Flow","1","0","4_Validate incorrect password alerts","0"
"1","Sign Up","0","Complete Flow of Signup","0","0","Fill signup form","0"
"0","Login","0","Required Field Alerts","1","0","4_Submit without any credentials","0"
"1","Sign Up","0","Complete Flow of Signup","0","0","Verify OTP flow","0"
"0","Login","0","Required Field Alerts","1","0","2_Failed login with incorrect password","0"
"1","Sign Up Flow","0","Complete SignUp Workflow For Free Plan","0","0","3_Verify T&C and Privacy","0"
"1","Sign Up Flow","0","Complete SignUp Workflow For Free Plan","0","0","2_Fill SignUp Form","0"
"0","Sign Up","0","Complete Flow of Signup","0","1","Complete profile","0"
"0","Forgot Password","0","Forgot Password Flow","1","0","2_Access Yopmail and click reset link","0"
"1","Sign Up Flow","0","Complete SignUp Workflow For Free Plan","0","0","1_Navigate to SignUp Page","0"
"0","Forgot Password Feature","0","Required Field Validation","1","0","1_Verify alerts on Forgot Password form","0"
"1","Sign Up","0","Complete Flow of Signup","0","0","Navigate to signup","0"
"1","Sign Up","0","Complete Flow of Signup","0","0","Verify terms and privacy checkbox","0"
"0","Login","0","Required Field Alerts","1","0","3_Submit with blank password","0"
"0","Sign Up","0","Complete Flow of Signup","0","1","Select a plan","0"
"0","Forgot Password","0","Forgot Password Flow","1","0","3_Enter and submit new password","0"
"0","Forgot Password","0","Forgot Password Flow","1","0","1_Initiate forgot password with email","0"
"0","Sign Up Flow","0","Complete SignUp Workflow For Free Plan","0","1","7_Select Plan","0"
"1","Sign Up Flow","0","Complete SignUp Workflow For Free Plan","0","0","5_OTP Verification","0"
"1","Sign Up Flow","0","Complete SignUp Workflow For Free Plan","0","0","4_Click SignUp button","0"
