"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Click on sign up button to submit the form","10032","Click_on_Sign_button","Surefire suite","Wed Jul 30 15:41:10 IST 2025","broken","Wed Jul 30 15:41:20 IST 2025","SignUp.SignUp_Tests","Surefire test","SignUp.SignUp_Tests","Click_on_Sign_button"
"Validates browser-side alerts for Password blank and invalid email inputs","655","Password Blank and invalid email inputs","Surefire suite","Wed Jul 30 15:42:51 IST 2025","passed","Wed Jul 30 15:42:51 IST 2025","Login.Test_Cases.Login_Required_Field_Alerts_Test","Surefire test","Login.Test_Cases.Login_Required_Field_Alerts_Test","emailFieldValidation"
"","0","Fill company and contact details","Surefire suite","Wed Jul 30 15:42:35 IST 2025","skipped","Wed Jul 30 15:42:35 IST 2025","SignUp.Test_Cases.SignUp_FreePlan_Test","Surefire test","SignUp.Test_Cases.SignUp_FreePlan_Test","fillCompanyDetails"
"Test login with different email/password combinations","3319","login scenarios","Surefire suite","Wed Jul 30 15:42:43 IST 2025","passed","Wed Jul 30 15:42:47 IST 2025","Login.Test_Cases.Login_Test","Surefire test","Login.Test_Cases.Login_Test","loginTests"
"Test login with different email/password combinations","2439","login scenarios","Surefire suite","Wed Jul 30 15:42:47 IST 2025","passed","Wed Jul 30 15:42:49 IST 2025","Login.Test_Cases.Login_Test","Surefire test","Login.Test_Cases.Login_Test","loginTests"
"","1","tearDown1","Surefire suite","Wed Jul 30 15:41:40 IST 2025","broken","Wed Jul 30 15:41:40 IST 2025","SignUp.SignUp_Tests","Surefire test","SignUp.SignUp_Tests","tearDown1"
"Test login with different email/password combinations","3344","login scenarios","Surefire suite","Wed Jul 30 15:42:40 IST 2025","passed","Wed Jul 30 15:42:43 IST 2025","Login.Test_Cases.Login_Test","Surefire test","Login.Test_Cases.Login_Test","loginTests"
"","0","takescreenshot","Surefire suite","Wed Jul 30 15:42:35 IST 2025","broken","Wed Jul 30 15:42:35 IST 2025","SignUp.Test_Cases.SignUp_FreePlan_Test","Surefire test","SignUp.Test_Cases.SignUp_FreePlan_Test","takescreenshot"
"","242","validatePasswordAlerts","Surefire suite","Wed Jul 30 15:40:47 IST 2025","passed","Wed Jul 30 15:40:47 IST 2025","ForgotPassword.Test_Cases.ForgotPassword_Test","Surefire test","ForgotPassword.Test_Cases.ForgotPassword_Test","validatePasswordAlerts"
"User fills all required fields in signup form","10016","Filed_signup_form","Surefire suite","Wed Jul 30 15:40:50 IST 2025","broken","Wed Jul 30 15:41:00 IST 2025","SignUp.SignUp_Tests","Surefire test","SignUp.SignUp_Tests","Filed_signup_form"
"Ensure alerts appear when email and password are empty","245","Both fields empty","Surefire suite","Wed Jul 30 15:42:53 IST 2025","passed","Wed Jul 30 15:42:53 IST 2025","Login.Test_Cases.Login_Required_Field_Alerts_Test","Surefire test","Login.Test_Cases.Login_Required_Field_Alerts_Test","bothFieldsEmpty"
"Enter and verify OTP received via email or SMS","20261","OTP_Verification","Surefire suite","Wed Jul 30 15:41:20 IST 2025","broken","Wed Jul 30 15:41:40 IST 2025","SignUp.SignUp_Tests","Surefire test","SignUp.SignUp_Tests","OTP_Verification"
"Displays error message on incorrect password submission","979","Incorrect password validation","Surefire suite","Wed Jul 30 15:42:51 IST 2025","passed","Wed Jul 30 15:42:52 IST 2025","Login.Test_Cases.Login_Required_Field_Alerts_Test","Surefire test","Login.Test_Cases.Login_Required_Field_Alerts_Test","passwordValidation"
"","10036","Check T&C checkbox and validate links","Surefire suite","Wed Jul 30 15:41:54 IST 2025","broken","Wed Jul 30 15:42:04 IST 2025","SignUp.Test_Cases.SignUp_FreePlan_Test","Surefire test","SignUp.Test_Cases.SignUp_FreePlan_Test","checkTermsCheckboxAndLinks"
"","10445","Fill the Sign Up form","Surefire suite","Wed Jul 30 15:41:43 IST 2025","broken","Wed Jul 30 15:41:54 IST 2025","SignUp.Test_Cases.SignUp_FreePlan_Test","Surefire test","SignUp.Test_Cases.SignUp_FreePlan_Test","fillSignUpForm"
"User fills in company information after signup","1","Fill_company_details","Surefire suite","Wed Jul 30 15:41:40 IST 2025","skipped","Wed Jul 30 15:41:40 IST 2025","SignUp.SignUp_Tests","Surefire test","SignUp.SignUp_Tests","Fill_company_details"
"","3422","Clicked_reset_button","Surefire suite","Wed Jul 30 15:40:41 IST 2025","passed","Wed Jul 30 15:40:44 IST 2025","ForgotPassword.Test_Cases.ForgotPassword_Test","Surefire test","ForgotPassword.Test_Cases.ForgotPassword_Test","Clicked_reset_button"
"","1098","Click Sign Up link on homepage","Surefire suite","Wed Jul 30 15:41:42 IST 2025","broken","Wed Jul 30 15:41:43 IST 2025","SignUp.Test_Cases.SignUp_FreePlan_Test","Surefire test","SignUp.Test_Cases.SignUp_FreePlan_Test","clickSignUpLink"
"Validates email field required and format alerts on the Forgot Password page.","652","Forgot_Password_Email_field_alerts","Surefire suite","Wed Jul 30 15:40:37 IST 2025","passed","Wed Jul 30 15:40:38 IST 2025","ForgotPassword.Test_Cases.ForgotPassword_Fields_Alert_Test","Surefire test","ForgotPassword.Test_Cases.ForgotPassword_Fields_Alert_Test","Forgot_Password_Email_field_alerts"
"User clicks on the SignUp link on homepage","1163","Click_on_SignUp_Link","Surefire suite","Wed Jul 30 15:40:49 IST 2025","broken","Wed Jul 30 15:40:50 IST 2025","SignUp.SignUp_Tests","Surefire test","SignUp.SignUp_Tests","Click_on_SignUp_Link"
"Check the terms and conditions checkbox and verify privacy policy links","10015","Verify_checkbox_and_links","Surefire suite","Wed Jul 30 15:41:00 IST 2025","broken","Wed Jul 30 15:41:10 IST 2025","SignUp.SignUp_Tests","Surefire test","SignUp.SignUp_Tests","Verify_checkbox_and_links"
"Validates required password field when left empty","366","Empty password field validation","Surefire suite","Wed Jul 30 15:42:52 IST 2025","passed","Wed Jul 30 15:42:53 IST 2025","Login.Test_Cases.Login_Required_Field_Alerts_Test","Surefire test","Login.Test_Cases.Login_Required_Field_Alerts_Test","emptyPasswordValidation"
"User purchases a plan after signup","1","Purchase_Plan","Surefire suite","Wed Jul 30 15:41:40 IST 2025","skipped","Wed Jul 30 15:41:40 IST 2025","SignUp.SignUp_Tests","Surefire test","SignUp.SignUp_Tests","Purchase_Plan"
"","2266","Change_Password","Surefire suite","Wed Jul 30 15:40:44 IST 2025","passed","Wed Jul 30 15:40:47 IST 2025","ForgotPassword.Test_Cases.ForgotPassword_Test","Surefire test","ForgotPassword.Test_Cases.ForgotPassword_Test","Change_Password"
"","1291","Forgot_Password_Flow","Surefire suite","Wed Jul 30 15:40:40 IST 2025","passed","Wed Jul 30 15:40:41 IST 2025","ForgotPassword.Test_Cases.ForgotPassword_Test","Surefire test","ForgotPassword.Test_Cases.ForgotPassword_Test","Forgot_Password_Flow"
"","0","Purchase a plan","Surefire suite","Wed Jul 30 15:42:35 IST 2025","skipped","Wed Jul 30 15:42:35 IST 2025","SignUp.Test_Cases.SignUp_FreePlan_Test","Surefire test","SignUp.Test_Cases.SignUp_FreePlan_Test","purchasePlan"
"Test login with different email/password combinations","3584","login scenarios","Surefire suite","Wed Jul 30 15:42:36 IST 2025","passed","Wed Jul 30 15:42:40 IST 2025","Login.Test_Cases.Login_Test","Surefire test","Login.Test_Cases.Login_Test","loginTests"
"","20996","Enter OTP from Yopmail","Surefire suite","Wed Jul 30 15:42:14 IST 2025","broken","Wed Jul 30 15:42:35 IST 2025","SignUp.Test_Cases.SignUp_FreePlan_Test","Surefire test","SignUp.Test_Cases.SignUp_FreePlan_Test","enterOtpFromEmail"
"","10037","Submit signup form","Surefire suite","Wed Jul 30 15:42:04 IST 2025","broken","Wed Jul 30 15:42:14 IST 2025","SignUp.Test_Cases.SignUp_FreePlan_Test","Surefire test","SignUp.Test_Cases.SignUp_FreePlan_Test","submitSignUp"
